patient_id,first_name,last_name,dob,gender,race,address,city,state,zip,phone,ssn,insurance_id,insurer,blood_type,created_at
bdb8f4a8-4ca5-4603-be16-c1e560635fe0,Daniel,Figueroa,2017-04-14,Unknown,White,21819 Johnson Course,East William,TX,03979,+1-438-863-7940,349-36-2548,INS-yg3511ww,Humana,B-,2020-10-05 05:08:28
a82de473-0dbe-4d93-81f1-43442632e237,Jessica,Herrera,1936-03-03,M,Black,84959 Janet Cape Apt. 413,South Joshuastad,CA,21820,(653)541-9283x276,702-42-0917,INS-re3056nK,Aetna,O+,2021-08-12 21:05:54
c7854cff-e7cc-4a81-9652-e485dcec40ba,Diana,Foster,1959-03-13,M,White,42388 Burgess Meadow Suite 532,Daviston,CA,14872,(626)291-6697,697-93-1877,INS-sB8451kD,Cigna,B-,2016-04-25 16:54:27
3435f4a3-a9af-4224-8447-426b7115201f,Teresa,Gill,1966-02-08,Unknown,Other,489 Eric Track,New Stephanie,TX,70015,2955701543,581-11-1404,INS-iQ7182EJ,Cigna,O+,2019-01-26 14:26:53
a9d9ffab-f9dd-41f7-a8b9-ef83133dd6a2,Allison,Obrien,1966-05-02,M,Hispanic,346 Kim Path,Martinezbury,MI,08893,309-583-9301x03105,286-86-7954,INS-KE3829pY,Humana,A+,2024-04-22 11:46:04
350da3ce-1508-4ab8-afd4-f0cdcaa7ce85,James,Davis,1985-08-29,M,Hispanic,6670 Bruce Stream Suite 133,New Shane,OH,55797,(247)331-7810,772-31-2725,INS-zd6773ky,Humana,B+,2016-04-18 22:21:48
661b7434-c960-4a1b-9be4-9237b8840a4e,Joseph,Bowers,1983-05-24,M,Asian,6872 Kenneth Centers Apt. 500,Shawhaven,CA,21136,3815219136,593-77-0652,INS-KH9169uq,Aetna,O+,2019-09-26 18:16:15
edec168b-4957-4d7a-8a45-1bfd89659d83,Jennifer,Allen,2021-05-29,M,Asian,47510 Howell Port Apt. 183,Davidstad,OH,09517,254.627.8498,680-14-2201,INS-jr4118sM,Humana,A+,2019-11-05 08:18:05
9178086e-d59f-4990-a66e-0b1cf71fb3b4,James,Walters,1976-12-03,Unknown,Hispanic,740 Cynthia Village Suite 005,Lake Tina,NC,21679,001-478-868-0112x8059,131-06-5051,INS-Rp5053Qg,Aetna,O+,2022-04-12 05:18:41
5d7756da-124a-419d-b89b-a4db486d3ec7,Nicole,Russell,2006-06-16,M,Other,22602 Patton Loop,West Erik,IL,92418,560-573-3754,025-85-3165,INS-Xr6541wP,Medicare,B-,2024-12-04 21:00:41
a32cc630-7805-442d-badf-803b62536626,Erin,Anthony,1984-08-27,Unknown,White,14294 Daniel Mews Suite 569,South Rachelborough,TX,33887,7607883561,680-16-4921,INS-zS8465sJ,Cigna,AB+,2018-06-05 11:27:50
51f51246-2a79-4887-b549-021bc83e6af6,Robert,Bentley,1956-05-14,M,Black,946 Kevin Fords,Floydmouth,CA,61447,573.687.2148x951,231-26-2415,INS-NX0037eD,Medicaid,AB+,2023-04-24 18:51:13
506064ff-7eed-4926-b927-d634c982ece2,Barbara,Higgins,2015-12-20,F,Asian,6320 Kimberly Forges Apt. 870,Port David,NY,17978,988.995.7986x872,266-97-4051,INS-rC4873eT,Medicare,AB-,2021-02-13 23:48:06
a1e067bc-8940-4d53-8fb1-a50dc16f3087,Joseph,Flores,1962-03-04,M,Asian,23623 Robert Isle,Perryborough,CA,55570,(590)996-7054x6688,225-35-7141,INS-QR7065Zz,UnitedHealth,B-,2019-01-26 02:11:06
3ae35dcb-d0ea-47f9-83c7-d450f4e23e96,Samantha,Hooper,1993-11-14,M,Hispanic,9901 Taylor Mountain,North Jorge,PA,43407,975.256.4641,768-70-0854,INS-Wb5310pm,Humana,B-,2016-08-10 04:13:10
6c233d92-9672-4a60-b22e-e31fcabb3919,Elijah,Martinez,2014-10-27,Unknown,Asian,374 Jackson Rest,Port Loriport,TX,14669,001-504-396-6319,714-99-4942,INS-wI9190BQ,Cigna,A+,2022-07-26 04:27:59
51644434-4b10-4199-af08-c59ba3285605,William,Peterson,1939-08-23,F,Hispanic,1657 Ryan Street Suite 987,Grahamshire,IL,35680,431-947-3799x65075,218-46-4233,INS-Ja5494Hm,Aetna,B-,2017-09-19 12:27:40
184ad2da-2592-45dd-896f-0fb5f070ae7c,Jennifer,Freeman,1963-02-08,Unknown,Asian,777 Christopher Forges,Holtport,FL,87527,001-757-988-5685,278-40-4119,INS-hV3135IW,Self-Pay,O+,2019-05-31 00:28:39
a6eb5f6b-f414-48a0-8d11-dd9d04a5f4fd,Javier,Washington,1956-04-29,Unknown,Hispanic,34352 Smith Place Apt. 400,Heidiberg,NY,84107,001-371-309-4777x52047,411-63-1214,INS-ZK9022tf,Humana,B+,2020-06-25 17:50:56
e073bc5c-f70d-46d3-a652-08aade16e9b6,Angela,Butler,1946-05-19,M,Other,677 Dalton Meadow,Ashleyton,NC,80406,001-813-934-1232x8120,706-77-7700,INS-Ts4034SD,Humana,O+,2017-06-21 20:01:34
03571e9c-f54e-4fd5-b579-875f55d32531,Jesus,Baker,2023-10-24,Unknown,Hispanic,1832 Serrano Cliffs,East Laurashire,OH,38329,217.846.4887x719,753-42-9892,INS-RK4013Lb,Cigna,B+,2020-11-05 05:19:41
4bbe5458-e586-424d-8e4f-446a2d931940,Billy,Avila,2008-09-07,Unknown,Hispanic,742 Walters Overpass Apt. 756,Manuelville,CA,21580,267-946-8071x54516,424-07-3074,INS-OC8597Wd,BlueCross,A-,2019-09-22 09:44:10
ac8b435f-ad60-410f-80aa-c6a55afd7ccf,Andrea,Pennington,1966-08-09,M,Black,710 Jennifer Inlet Apt. 861,Port Robin,PA,60983,527-948-4677,565-19-6285,INS-er3982XY,Aetna,O+,2023-04-27 21:37:48
